user_id,rel_id,business_id,ts
0,2,4224,0
0,3,4225,675
0,3,4226,870
0,0,4227,1367
1,3,4228,1132881
1,2,4229,1222449
1,3,4230,1222824
1,2,4231,1302957
1,2,4232,1426683
2,4,4233,1911656
2,3,4234,3168865
3,4,4235,12350428
3,3,4228,12350981
3,4,4236,12351575
3,2,4237,12352759
3,3,4238,12421930
3,2,4239,12422475
3,0,4240,12422923
3,0,4241,12427726
3,2,4242,12436266
3,2,4243,12436499
3,4,4244,12437357
3,1,4245,12437932
3,3,4246,15201232
3,3,4247,15201533
4,3,4248,15738201
4,2,4249,15739135
4,3,4237,15739639
4,3,4250,15739882
4,2,4251,15818679
4,3,4252,15818765
4,3,4253,15824530
3,1,4254,15981926
3,3,4253,15982324
5,2,4255,19443616
5,2,4242,19443819
5,2,4226,19444085
5,2,4256,19444211
5,3,4250,19446552
6,4,4234,21094678
5,3,4257,21419478
7,2,4258,23470978
7,0,4259,23471983
7,2,4260,24076756
7,1,4261,24276918
8,3,4235,27055309
7,3,4262,27130960
2,4,4263,27666623
2,0,4264,27826706
0,4,4265,27879585
0,4,4266,28057435
0,3,4267,28059630
0,4,4268,28059836
0,3,4269,28062484
2,3,4268,28165012
9,2,4238,29264853
10,4,4270,29533697
8,4,4271,29711775
2,2,4239,29873659
2,3,4272,29951281
2,3,4269,30299427
2,3,4273,32757894
11,3,4234,33859586
11,4,4274,36362975
11,2,4275,36363572
11,4,4276,36364749
12,4,4277,36442017
7,1,4278,36718746
7,1,4279,37703840
2,4,4280,37832710
11,1,4281,38437761
6,4,4228,38620162
6,1,4282,38620512
6,3,4250,39765518
6,2,4243,39765923
2,4,4283,41907864
13,4,4284,42654581
13,3,4285,42655910
13,3,4271,42656828
13,3,4242,42657594
13,2,4286,42657885
13,1,4239,42659555
13,4,4287,42866851
13,3,4288,42869801
13,2,4279,43082476
13,4,4289,43084998
14,4,4290,43196703
14,3,4291,43197118
14,0,4246,43197627
15,3,4234,43210085
15,3,4292,43210194
15,1,4293,43210384
15,3,4235,43210777
15,2,4294,43813676
15,3,4295,43900319
7,3,4296,44045821
16,2,4297,44388419
16,3,4273,44388920
16,3,4244,44389271
16,3,4298,44389900
16,3,4299,44390381
16,3,4300,44420376
9,3,4250,45373559
9,3,4275,45373698
17,3,4229,45373713
9,4,4301,45373947
9,2,4285,45374121
17,3,4302,45374747
17,3,4303,45374794
17,3,4267,45375128
17,3,4228,45375540
17,4,4304,45376036
17,4,4305,45376482
17,3,4306,45376784
17,4,4307,45377037
17,3,4308,45378849
17,4,4309,45379363
17,4,4310,45380015
17,4,4241,45382570
17,3,4296,45383506
17,4,4311,45384223
17,4,4312,45387177
17,4,4313,45387816
18,3,4285,45657897
18,3,4314,45658797
18,3,4238,45659206
18,1,4235,45659359
18,1,4234,45659531
18,3,4226,45659909
18,2,4302,45660184
18,1,4257,45660318
18,3,4239,45660698
18,4,4253,45661606
18,3,4315,45661816
18,0,4225,45662056
18,0,4316,45662280
19,3,4298,46495355
20,3,4317,47614058
20,3,4267,47620360
20,3,4256,47823858
20,4,4271,47946216
20,3,4314,47961547
21,4,4318,48172843
22,4,4319,49049004
2,3,4320,49684737
23,0,4321,50856259
23,4,4284,50856514
19,2,4322,51169310
24,4,4285,51362947
19,4,4283,51377577
7,1,4323,51821037
25,4,4226,52177627
25,3,4274,52177759
25,4,4234,52177919
26,4,4324,52445407
23,2,4267,52712646
26,4,4325,53192554
7,2,4326,53580245
7,2,4327,53739992
27,3,4328,55135943
27,2,4271,55138108
27,3,4329,55138784
27,2,4330,55704547
28,2,4238,55733531
28,2,4256,55733798
29,4,4331,55744605
29,3,4332,55744953
29,3,4333,55745398
29,3,4334,55745719
29,3,4335,55746144
28,2,4246,55888147
29,3,4319,56209467
28,2,4282,56478342
28,2,4314,56864021
28,3,4244,57085329
28,2,4253,57645246
30,2,4336,58041356
30,1,4321,58041450
30,0,4337,58041643
30,4,4253,58041748
30,3,4284,58042018
28,2,4338,58158637
31,3,4226,58241973
28,2,4339,58331457
17,2,4330,58523417
31,3,4340,58645157
30,2,4314,58738252
28,3,4233,58845786
28,3,4277,59087548
32,2,4260,59179063
33,3,4329,59327595
33,3,4341,59328336
33,4,4342,59328602
32,3,4343,59443853
32,4,4271,59447063
7,2,4344,59608135
28,2,4345,59634296
28,1,4262,59767593
34,3,4284,60351571
34,2,4235,60351878
34,0,4313,60352839
34,3,4346,60353323
34,3,4238,60353618
34,3,4274,60353988
35,0,4252,60405189
28,3,4250,60576205
28,3,4284,60734378
36,3,4347,61352765
36,4,4318,61353394
36,3,4339,61353723
36,3,4348,61354128
36,3,4349,61354347
34,3,4234,61442682
34,3,4227,61442949
37,3,4253,61794689
38,4,4330,61959273
38,0,4350,61996227
38,4,4351,61997358
38,1,4352,62000065
38,3,4353,62000596
38,3,4343,62001965
37,3,4285,62041342
32,1,4354,62176793
39,4,4355,62532740
39,3,4311,62533276
40,2,4228,62559257
41,3,4356,62737018
41,1,4357,62741370
40,4,4347,63039374
42,2,4330,63423631
42,3,4256,64018547
42,2,4253,64023724
43,2,4330,64027054
3,2,4358,64194338
37,2,4330,64349751
37,3,4359,64375774
42,3,4359,64376890
37,3,4271,64376966
26,4,4234,64607862
26,0,4360,64608370
26,0,4351,64608810
28,3,4361,64802103
44,0,4242,64890535
44,2,4362,64891363
44,1,4246,64891846
29,3,4304,65151497
44,4,4338,65400984
44,1,4363,65409221
26,4,4274,65634017
26,4,4359,65635703
32,3,4364,66084663
42,3,4307,66099893
42,3,4365,66102947
42,2,4366,66105409
42,4,4242,66112292
45,1,4367,66257990
28,0,4347,66676501
28,1,4368,66761276
